R-27  EF parameters per volatility regime
  2076 graded Polymarket fires with a prior-6-candle vol reading
  buckets fixed FIRST: rv6 (bps) cut at the 33rd/67th pct = 4.05 / 8.56

  THE PLAIN ANSWER: what the CURRENT parameters already do per bucket
  bucket       n      W%    per $1      total   med ask
  LOW        685   57.4%    +0.200    +136.96     0.470
  MID        706   50.4%    +0.095     +66.94     0.450
  HIGH       685   51.7%    +0.114     +77.89     0.450

  FULL GRID per bucket. Every cell; <60 fires marked insufficient.
  Each cell is a RESTRICTION of the fires already taken.

  === LOW (n=685) ===
  evflr  maxp   secwin    |p-.5|      n      W%    per $1     total
  0.00   0.60   60-300    0.10      154   53.2%    +0.025     +3.86
  0.00   0.60   60-300    0.15       86   62.8%    +0.176    +15.15
  0.00   0.70   0-30      0.00      109   42.2%    -0.139    -15.15
  0.00   0.70   0-30      0.05       82   47.6%    -0.072     -5.89
  0.00   0.70   0-30      0.10       64   45.3%    -0.146     -9.37
  0.00   0.70   30-45     0.00      124   60.5%    +0.265    +32.84
  0.00   0.70   30-45     0.05       85   61.2%    +0.164    +13.90
  0.00   0.70   30-45     0.10       65   69.2%    +0.290    +18.87
  0.00   0.70   45-60     0.00       92   48.9%    +0.086     +7.89
  0.00   0.70   60-300    0.00      359   52.1%    +0.145    +52.11
  0.00   0.70   60-300    0.05      242   55.8%    +0.127    +30.74
  0.00   0.70   60-300    0.10      167   55.1%    +0.034     +5.74
  0.00   0.70   60-300    0.15       99   64.6%    +0.172    +17.03
  0.00   0.80   0-30      0.00      109   42.2%    -0.139    -15.15
  0.00   0.80   0-30      0.05       82   47.6%    -0.072     -5.89
  0.00   0.80   0-30      0.10       64   45.3%    -0.146     -9.37
  0.00   0.80   30-45     0.00      124   60.5%    +0.265    +32.84
  0.00   0.80   30-45     0.05       85   61.2%    +0.164    +13.90
  0.00   0.80   30-45     0.10       65   69.2%    +0.290    +18.87
  0.00   0.80   45-60     0.00       92   48.9%    +0.086     +7.89
  0.00   0.80   60-300    0.00      359   52.1%    +0.145    +52.11
  0.00   0.80   60-300    0.05      242   55.8%    +0.127    +30.74
  0.00   0.80   60-300    0.10      167   55.1%    +0.034     +5.74
  0.00   0.80   60-300    0.15       99   64.6%    +0.172    +17.03
  0.05   0.40   60-300    0.00      126   44.4%    +0.211    +26.57
  0.05   0.50   0-30      0.00       74   39.2%    -0.146    -10.83
  0.05   0.50   30-45     0.00       82   51.2%    +0.186    +15.28
  0.05   0.50   45-60     0.00       71   50.7%    +0.191    +13.54
  0.05   0.50   60-300    0.00      273   47.6%    +0.144    +39.35
  0.05   0.50   60-300    0.05      156   50.0%    +0.115    +17.98
  0.05   0.50   60-300    0.10       81   43.2%    -0.087     -7.02
  0.05   0.60   0-30      0.00      108   42.6%    -0.131    -14.15
  0.05   0.60   0-30      0.05       81   48.1%    -0.060     -4.89
  0.05   0.60   0-30      0.10       63   46.0%    -0.133     -8.37
  0.05   0.60   30-45     0.00      123   60.2%    +0.263    +32.39
  0.05   0.60   30-45     0.05       84   60.7%    +0.160    +13.44
  0.05   0.60   30-45     0.10       64   68.8%    +0.288    +18.41
  0.05   0.60   45-60     0.00       89   47.2%    +0.072     +6.40
  0.05   0.60   60-300    0.00      346   51.2%    +0.145    +50.23
  0.05   0.60   60-300    0.05      229   54.6%    +0.126    +28.86
  0.05   0.60   60-300    0.10      154   53.2%    +0.025     +3.86
  0.05   0.60   60-300    0.15       86   62.8%    +0.176    +15.15
  0.05   0.70   0-30      0.00      109   42.2%    -0.139    -15.15
  0.05   0.70   0-30      0.05       82   47.6%    -0.072     -5.89
  0.05   0.70   0-30      0.10       64   45.3%    -0.146     -9.37
